title,user_id,genre,tags
"Adventures of Robin Hood, The (1938)","1","Action|Adventure|Romance","swashbuckler"
"Alice in Wonderland (1951)","1","Adventure|Animation|Children|Fantasy|Musical","Disney"
"All Quiet on the Western Front (1930)","1","Action|Drama|War",NULL
"American Beauty (1999)","1","Drama|Romance",NULL
"American History X (1998)","1","Crime|Drama","thought-provoking, racism, edward norton, emotional, politics"
"American Tail, An (1986)","1","Adventure|Animation|Children|Comedy",NULL
"Austin Powers: International Man of Mystery (1997)","1","Action|Adventure|Comedy",NULL
"Back to the Future (1985)","1","Adventure|Comedy|Sci-Fi","time travel"
"Bambi (1942)","1","Animation|Children|Drama",NULL
"Basic Instinct (1992)","1","Crime|Mystery|Thriller",NULL
"Bedknobs and Broomsticks (1971)","1","Adventure|Children|Musical",NULL
"Big Lebowski, The (1998)","1","Comedy|Crime","Coen Brothers, black comedy, bowling, classic, coen brothers, comedy, crime, Cult classic, cult film, dark comedy, deadpan, drugs, funny, great dialogue, great soundtrack, Highly quotable, imdb top 250, Jeff Bridges, John Goodman, Julianne Moore, kidnapping, marijuana, Nudity (Full Frontal), off-beat comedy, Philip Seymour Hoffman, quirky, ransom, rug, sarcasm, satirical, Steve Buscemi, violence"
"Billy Madison (1995)","1","Comedy","school, Adam Sandler, stop looking at me swan"
"Black Cauldron, The (1985)","1","Adventure|Animation|Children|Fantasy",NULL
"Blazing Saddles (1974)","1","Comedy|Western","dark humor, easygoing, silly"
"Blues Brothers, The (1980)","1","Action|Comedy|Musical","Saturday Night Live"
"Bottle Rocket (1996)","1","Adventure|Comedy|Crime|Romance","crime, off-beat comedy, quirky"
"Canadian Bacon (1995)","1","Comedy|War",NULL
"Charlotte's Web (1973)","1","Animation|Children",NULL
"Citizen Kane (1941)","1","Drama|Mystery","Rosebud"
"Clockwork Orange, A (1971)","1","Crime|Drama|Sci-Fi|Thriller","brainwashing"
"Conan the Barbarian (1982)","1","Action|Adventure|Fantasy",NULL
"Crocodile Dundee (1986)","1","Adventure|Comedy","Australia"
"Desperado (1995)","1","Action|Romance|Western",NULL
"Dirty Dozen, The (1967)","1","Action|Drama|War",NULL
"Dogma (1999)","1","Adventure|Comedy|Fantasy","irreverent, jay and silent bob, Kevin Smith, satire, religion"
"Dr. No (1962)","1","Action|Adventure|Thriller",NULL
"Duck Soup (1933)","1","Comedy|Musical|War",NULL
"Dumb & Dumber (Dumb and Dumber) (1994)","1","Adventure|Comedy",NULL
"Dumbo (1941)","1","Animation|Children|Drama|Musical","Disney"
"E.T. the Extra-Terrestrial (1982)","1","Children|Drama|Sci-Fi","aliens"
"Edward Scissorhands (1990)","1","Drama|Fantasy|Romance","freaks"
"Enemy of the State (1998)","1","Action|Thriller",NULL
"Excalibur (1981)","1","Adventure|Fantasy","England, King Arthur"
"Face/Off (1997)","1","Action|Crime|Drama|Thriller","transplants"
"Fantasia (1940)","1","Animation|Children|Fantasy|Musical","Disney"
"Fargo (1996)","1","Comedy|Crime|Drama|Thriller","based on a true story, dark comedy, KIDNAPPING, Steve Buscemi, Coen Brothers"
"Fight Club (1999)","1","Action|Crime|Drama|Thriller","dark comedy, psychology, thought-provoking, twist ending, dark comedy, violence, action, atmospheric, based on a book, Brad Pitt, challenging, Chuck Palahniuk, classic, clever, complicated, consumerism, crime, dark, dark comedy, David Fincher, disturbing, double life, Edward Norton, fighting, great acting, helena bonham carter, imaginary friend, imdb top 250, mental illness, mind-blowing, mindfuck, narrated, Nudity (Topless), Palahnuik, philosophical, philosophy, postmodern, powerful ending, psychological, psychological thriller, psychology, quirky, satirical, schizophrenia, social commentary, societal criticism, stylized, surreal, TERRORISM, thought-provoking, twist, twist ending, violence, violent"
"From Russia with Love (1963)","1","Action|Adventure|Thriller",NULL
"Fugitive, The (1993)","1","Thriller","based on a TV show"
"Full Metal Jacket (1987)","1","Drama|War","Vietnam, anti-war"
"Game, The (1997)","1","Drama|Mystery|Thriller","mindfuck, Mystery, plot twist, psychological, suspense, twist ending, twist ending, Mystery"
"Ghost and the Darkness, The (1996)","1","Action|Adventure",NULL
"Ghostbusters (a.k.a. Ghost Busters) (1984)","1","Action|Comedy|Sci-Fi","ghosts"
"Gladiator (2000)","1","Action|Adventure|Drama","ancient Rome, Epic, history, imdb top 250, revenge, Rome, Russell Crowe, Romans"
"Go (1999)","1","Comedy|Crime",NULL
"Goldfinger (1964)","1","Action|Adventure|Thriller",NULL
"Good Morning, Vietnam (1987)","1","Comedy|Drama|War",NULL
"Goodfellas (1990)","1","Crime|Drama","Mafia"
"Goonies, The (1985)","1","Action|Adventure|Children|Comedy|Fantasy",NULL
"Great Mouse Detective, The (1986)","1","Action|Animation|Children|Crime",NULL
"Green Mile, The (1999)","1","Crime|Drama","Stephen King"
"Grumpy Old Men (1993)","1","Comedy",NULL
"Gulliver's Travels (1939)","1","Adventure|Animation|Children",NULL
"Henry V (1989)","1","Action|Drama|Romance|War","Shakespeare"
"Highlander (1986)","1","Action|Adventure|Fantasy",NULL
"Indiana Jones and the Last Crusade (1989)","1","Action|Adventure","archaeology, Holy Grail"
"Indiana Jones and the Temple of Doom (1984)","1","Action|Adventure|Fantasy","archaeology"
"Iron Giant, The (1999)","1","Adventure|Animation|Children|Drama|Sci-Fi","robots, animation"
"James and the Giant Peach (1996)","1","Adventure|Animation|Children|Fantasy|Musical",NULL
"JFK (1991)","1","Drama|Mystery|Thriller","politics, president"
"Jungle Book, The (1967)","1","Animation|Children|Comedy|Musical","Disney"
"Jungle Book, The (1994)","1","Adventure|Children|Romance",NULL
"L.A. Confidential (1997)","1","Crime|Film-Noir|Mystery|Thriller","Police"
"Live and Let Die (1973)","1","Action|Adventure|Thriller",NULL
"Lock, Stock & Two Smoking Barrels (1998)","1","Comedy|Crime|Thriller",NULL
"Lord of the Rings, The (1978)","1","Adventure|Animation|Children|Fantasy","Tolkein, classic"
"M*A*S*H (a.k.a. MASH) (1970)","1","Comedy|Drama|War",NULL
"Mad Max (1979)","1","Action|Adventure|Sci-Fi",NULL
"Matrix, The (1999)","1","Action|Sci-Fi|Thriller","martial arts, sci-fi, alternate universe, philosophy, post apocalyptic"
"Messenger: The Story of Joan of Arc, The (1999)","1","Drama|War",NULL
"Monty Python and the Holy Grail (1975)","1","Adventure|Comedy|Fantasy","british comedy, Monty Python, England, King Arthur"
"Monty Python's Life of Brian (1979)","1","Comedy","Bible, parody, religion"
"Mr. Smith Goes to Washington (1939)","1","Drama","Politics"
"Negotiator, The (1998)","1","Action|Crime|Drama|Mystery|Thriller","police"
"NeverEnding Story, The (1984)","1","Adventure|Children|Fantasy",NULL
"Newton Boys, The (1998)","1","Crime|Drama",NULL
"Office Space (1999)","1","Comedy|Crime","stapler, workplace"
"Pink Floyd: The Wall (1982)","1","Drama|Musical",NULL
"Pinocchio (1940)","1","Animation|Children|Fantasy|Musical","Disney"
"Planet of the Apes (1968)","1","Action|Drama|Sci-Fi","twist ending"
"Princess Bride, The (1987)","1","Action|Adventure|Comedy|Fantasy|Romance","Inigo Montoya, six-fingered man"
"Quiet Man, The (1952)","1","Drama|Romance",NULL
"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)","1","Action|Adventure","adventure, archaeology, indiana jones, Steven Spielberg, treasure hunt, archaeology, ark of the covenant, indiana jones"
"Red Dawn (1984)","1","Action|Drama|War",NULL
"Rescuers, The (1977)","1","Adventure|Animation|Children|Crime|Drama",NULL
"Reservoir Dogs (1992)","1","Crime|Mystery|Thriller","ensemble cast, nonlinear, Quentin Tarantino, stylized, heist, violence, humorous, neo-noir, Quentin Tarantino, religion, Tarantino"
"Road Warrior, The (Mad Max 2) (1981)","1","Action|Adventure|Sci-Fi|Thriller",NULL
"Rob Roy (1995)","1","Action|Drama|Romance|War",NULL
"Robin Hood (1973)","1","Adventure|Animation|Children|Comedy|Musical",NULL
"Rocketeer, The (1991)","1","Action|Adventure|Sci-Fi",NULL
"Rocky (1976)","1","Drama","boxing, sports"
"Run Lola Run (Lola rennt) (1998)","1","Action|Crime","alternate endings"
"Rushmore (1998)","1","Comedy|Drama",NULL
"Schindler's List (1993)","1","Drama|War","moving, thought-provoking, Holocaust, based on a true story, biography, disturbing, holocaust"
